Food,Measure,Grams,Calories,Protien,Fat,Sugar,Carbs,Category
Lemon Poppy Muffin,1,128,460,6,24,28,54,Baked Good
Iced Vanilla Cake Donut,1,57,230,3,8,16,38,Baked Good
Blueberry Muffin,1,128,420,6,22,26,52,Baked Good
Chocolate Danish,1,61,270,3,19,12,25,Baked Good
Crinkle Cut Fries,14,85,180,2,11,<1,19,Side
Hamburger Bun,1,47,130,5,2,4,25,Bread
Halal Herb Grilled Chicken Breast,1,108,130,21,6,0,0,Meat
Halal Grilled Teriyaki Chicken Breast,1,98,160,18,10,0,0,Meat
Beef Tri Tip Coffee Rubbed,1,107,190,22,10,0,1,Meat
Italian Vegetables,1/2 Cup,85,40,1,0,2,6,Vegetables
Cheese Sauce,1/2 Cup,113,130,0,9,2,11,Sauce

